ID,assignment,x1,x2,x3,x4
51,1,6.4,3.2,4.5,1.5
52,1,6.9,3.1,4.9,1.5
53,3,5.5,2.3,4.0,1.3
54,2,6.5,2.8,4.6,1.5
55,3,5.7,2.8,4.5,1.3
56,1,6.3,3.3,4.7,1.6
57,1,4.9,2.4,3.3,1.0
58,1,6.6,2.9,4.6,1.3
59,3,5.2,2.7,3.9,1.4
60,2,5.0,2.0,3.5,1.0
61,2,5.9,3.0,4.2,1.5
62,3,6.0,2.2,4.0,1.0
63,1,6.1,2.9,4.7,1.4
64,1,5.6,2.9,3.6,1.3
65,2,6.7,3.1,4.4,1.4
66,1,5.6,3.0,4.5,1.5
67,1,5.8,2.7,4.1,1.0
68,1,6.2,2.2,4.5,1.5
69,1,5.6,2.5,3.9,1.1
70,2,5.9,3.2,4.8,1.8
71,1,6.1,2.8,4.0,1.3
72,1,6.3,2.5,4.9,1.5
73,1,6.1,2.8,4.7,1.2
74,3,6.4,2.9,4.3,1.3
75,2,6.6,3.0,4.4,1.4
76,1,6.8,2.8,4.8,1.4
77,3,6.7,3.0,5.0,1.7
78,1,6.0,2.9,4.5,1.5
79,2,5.7,2.6,3.5,1.0
80,3,5.5,2.4,3.8,1.1
81,1,5.5,2.4,3.7,1.0
82,2,5.8,2.7,3.9,1.2
83,1,6.0,2.7,5.1,1.6
84,3,5.4,3.0,4.5,1.5
85,2,6.0,3.4,4.5,1.6
86,3,6.7,3.1,4.7,1.5
87,1,6.3,2.3,4.4,1.3
88,2,5.6,3.0,4.1,1.3
89,3,5.5,2.5,4.0,1.3
90,3,5.5,2.6,4.4,1.2
91,2,6.1,3.0,4.6,1.4
92,3,5.8,2.6,4.0,1.2
93,3,5.0,2.3,3.3,1.0
94,1,5.6,2.7,4.2,1.3
95,1,5.7,3.0,4.2,1.2
96,3,5.7,2.9,4.2,1.3
97,2,6.2,2.9,4.3,1.3
98,1,5.1,2.5,3.0,1.1
99,1,5.7,2.8,4.1,1.3
100,1,6.3,3.3,6.0,2.5
101,2,5.8,2.7,5.1,1.9
102,2,7.1,3.0,5.9,2.1
103,1,6.3,2.9,5.6,1.8
104,3,6.5,3.0,5.8,2.2
105,2,7.6,3.0,6.6,2.1
106,2,4.9,2.5,4.5,1.7
107,3,7.3,2.9,6.3,1.8
108,3,6.7,2.5,5.8,1.8
109,1,7.2,3.6,6.1,2.5
110,3,6.5,3.2,5.1,2.0
111,2,6.4,2.7,5.3,1.9
112,3,6.8,3.0,5.5,2.1
113,1,5.7,2.5,5.0,2.0
114,3,5.8,2.8,5.1,2.4
115,1,6.4,3.2,5.3,2.3
116,1,6.5,3.0,5.5,1.8
117,1,7.7,3.8,6.7,2.2
118,2,7.7,2.6,6.9,2.3
119,2,6.0,2.2,5.0,1.5
120,3,6.9,3.2,5.7,2.3
121,3,5.6,2.8,4.9,2.0
122,2,7.7,2.8,6.7,2.0
123,2,6.3,2.7,4.9,1.8
124,2,6.7,3.3,5.7,2.1
125,3,7.2,3.2,6.0,1.8
126,3,6.2,2.8,4.8,1.8
127,3,6.1,3.0,4.9,1.8
128,1,6.4,2.8,5.6,2.1
129,1,7.2,3.0,5.8,1.6
130,1,7.4,2.8,6.1,1.9
131,3,7.9,3.8,6.4,2.0
132,3,6.4,2.8,5.6,2.2
133,3,6.3,2.8,5.1,1.5
134,2,6.1,2.6,5.6,1.4
135,3,7.7,3.0,6.1,2.3
136,3,6.3,3.4,5.6,2.4
137,2,6.4,3.1,5.5,1.8
138,2,6.0,3.0,4.8,1.8
139,1,6.9,3.1,5.4,2.1
140,2,6.7,3.1,5.6,2.4
141,2,6.9,3.1,5.1,2.3
142,3,5.8,2.7,5.1,1.9
143,1,6.8,3.2,5.9,2.3
144,1,6.7,3.3,5.7,2.5
145,3,6.7,3.0,5.2,2.3
146,2,6.3,2.5,5.0,1.9
147,3,6.5,3.0,5.2,2.0
148,2,6.2,3.4,5.4,2.3
149,1,5.9,3.0,5.1,1.8
